page,section,component,current_path,decision,pillar,required_subject,orientation,aspect_ratio,minimum_resolution,final_filename,final_folder,alt_text,source_type,priority,notes
"Accueil","Références fondatrices — Cervantès","Reference strip","/images/references/cervantes-cover.jpg","KEEP","Valorisation du patrimoine","Vue officielle du Théâtre Cervantès à Tanger pendant ou après réhabilitation","landscape","16:9","1600x900","cervantes-cover.jpg","/images/references/","Façade du Théâtre Cervantès à Tanger en cours de réhabilitation","official project photograph","P0 critical","Le bâtiment et l’enseigne sont identifiables; confirmer droit de publication et attribution APDN; résolution modeste."
"Accueil","Références fondatrices — Safi","Reference strip","[missing]","REPLACE","Valorisation du patrimoine","Vue officielle des murailles portugaises et du Château de Mer à Safi","landscape","16:9","1600x900","safi-chateau-de-mer-cover.jpg","/images/references/","Murailles portugaises et Château de Mer à Safi","official project photograph","P0 critical","Aucun fichier Safi; la carte actuelle est sans photographie."
"Cabinet","Page hero","PageHero","[none]","OPTIONAL","Transversal","Conserver le hero éditorial sans photo; si enrichi plus tard utiliser un contexte territorial discret et non un monument générique","panoramic","16:9","2400x1350","cabinet-hero-context.jpg","/images/cabinet/","Contexte architectural et territorial d’une mission Archeritage","founder/company-owned photograph","P2 optional","Aucune photo n’est nécessaire à la compréhension actuelle; ne pas remplir l’espace artificiellement."
"Cabinet","Le fondateur","Founder section","/images/hero/hero-05.jpg","REPLACE","Transversal","Portrait professionnel validé d’Ahmed Taoufik Naciri dans un contexte architectural sobre","portrait","4:5","1600x2000","ahmed-taoufik-naciri-portrait.jpg","/images/cabinet/","Ahmed Taoufik Naciri architecte et fondateur d’Archeritage","founder/company-owned photograph","P0 critical","La porte sculptée actuelle n’est pas un substitut acceptable au portrait; affichage vertical de 34rem minimum."
"Cabinet","Expérience de terrain","Future field/project experience visual","[missing]","REPLACE","Transversal","Fondateur sur site; réunion de projet; examen de plans ou inspection avec équipe","landscape","3:2","1800x1200","fondateur-experience-terrain.jpg","/images/cabinet/","Ahmed Taoufik Naciri lors d’une revue de projet sur site","founder/company-owned photograph","P1 important","Visuel d’expérience recommandé pour crédibiliser le parcours sans recourir à un monument générique."
"Expertises","Pilier foncier","PillarCard detailed","/images/hero/hero-03.jpg","REPLACE","Valorisation foncière et territoriale","Même master visuel foncier que l’Accueil; vue aérienne ou planification parcellaire","landscape","4:3","1600x1200","pillar-valorisation-fonciere.jpg","/images/pillars/","Vue aérienne d’un site foncier structuré par ses parcelles et ses accès","licensed contextual image or founder/company-owned photograph","P0 critical","Réutilisation admise car même pilier; photographie actuelle patrimoniale et incorrecte."
"Expertises","Pilier architecture","PillarCard detailed","/images/hero/hero-04.jpg","REPLACE","Architecture et projets d’envergure","Même master visuel architecture que l’Accueil; équipement public ou projet contemporain coordonné","landscape","4:3","1600x1200","pillar-architecture-envergure.jpg","/images/pillars/","Architecture d’un équipement public contemporain au Maroc","official project photograph or licensed contextual image","P0 critical","Réutilisation admise car même pilier; photographie actuelle de médina incorrecte."
"Expertises","Pilier patrimoine","PillarCard detailed","/images/hero/hero-02.jpg","KEEP","Valorisation du patrimoine","Même master patrimoine que l’Accueil; restauration ou détail constructif traditionnel","landscape","4:3","1600x1200","pillar-patrimoine.jpg","/images/pillars/","Intérieur patrimonial marocain restauré et décor traditionnel","licensed contextual image","P1 important","Réutilisation admise car même pilier; confirmer la licence."
"Missions","Visuel principal éventuel","No current image slot","[none]","OPTIONAL","Transversal","Une seule photo de réunion chantier relevé plans ou inspection; aucune galerie décorative","landscape","3:2","1800x1200","mission-coordination-site.jpg","/images/missions/","Réunion de coordination autour de plans sur un site de projet","founder/company-owned photograph","P2 optional","La page fonctionne sans image; ajouter seulement si une photographie réelle et utile devient disponible."
"Méthode","Cycle en six temps","MethodTimeline","CSS/HTML/GSAP — no file","KEEP","Transversal / gouvernance","Frise personnalisée en six étapes; lignes de décision; flux documentaire; aucun monument aléatoire","panoramic","responsive vector","vector","patrigov-cycle.svg","/images/methode/","Cycle PATRIGOV en six étapes de la compréhension à la transmission","custom graphic/diagram","P1 important","Le visuel actuel est déjà un diagramme code-native adapté; un SVG n’est requis que pour réutilisation hors site."
"Références","Tinmel","ReferenceCard","/images/references/tinmel-cover.jpg","KEEP","Valorisation du patrimoine","Vue officielle validée de Tinmel avec sujet centré et contexte du Haut Atlas","landscape","3:2 master; crop-safe 4:5","1600x1200","tinmel-cover.jpg","/images/references/","Mosquée de Tinmel dans son paysage du Haut Atlas","official project photograph","P0 critical","La carte desktop impose un crop vertical sévère à une source paysage; vérifier le point focal et les droits."
"Références","Tiznit / Place Mechouar","ReferenceCard","/images/references/tiznit-cover.jpg","REPLACE","Valorisation du patrimoine","Kasbah et Place Mechouar clairement reconnaissables; composition centrée compatible crop vertical","landscape","3:2 master; crop-safe 4:5","1800x1200","tiznit-place-mechouar-cover.jpg","/images/references/","Kasbah de Tiznit et Place Mechouar après valorisation patrimoniale","official project photograph","P0 critical","Le sujet actuel semble être une mosquée; correspondance projet non démontrée."
"Références","Théâtre Cervantès","ReferenceCard","/images/references/cervantes-cover.jpg","KEEP","Valorisation du patrimoine","Façade officielle du Théâtre Cervantès avec enseigne lisible et crop central sûr","landscape","16:9 master; crop-safe 4:5","1600x900","cervantes-cover.jpg","/images/references/","Façade du Théâtre Cervantès à Tanger en cours de réhabilitation","official project photograph","P0 critical","Correspondance visuelle forte; grille et grue seront fortement recadrées sur la carte; droits à confirmer."
"Références","Safi","ReferenceCard","[missing]","REPLACE","Valorisation du patrimoine","Château de Mer et murailles portugaises clairement reconnaissables; sujet principal centré","landscape","3:2 master; crop-safe 4:5","1800x1200","safi-chateau-de-mer-cover.jpg","/images/references/","Murailles portugaises et Château de Mer à Safi","official project photograph","P0 critical","Aucun fichier; variante no-photo actuelle élégante mais temporaire."
"Journal","Carte — diagnostic foncier","Journal card","/images/references/diagnostic-cover.jpg","REPLACE","Valorisation foncière et territoriale","Parcelle terrain plan cadastral ou diagnostic de site; lecture foncière immédiate","landscape","16:10","1800x1125","journal-diagnostic-foncier.jpg","/images/journal/","Parcelles et voies analysées lors d’un diagnostic foncier","licensed contextual image or custom graphic/diagram","P1 important","Photo actuelle: toiture de médina de Fès; sujet patrimonial sans relation claire avec le foncier."
"Journal","Carte — Tinmel 116 jours","Journal card","/images/references/tinmel-cover.jpg","REPLACE","Valorisation du patrimoine / gouvernance","Chantier de Tinmel; détail de suivi; documents de chantier ou inspection; distinct de la photo de référence","landscape","16:10","1800x1125","journal-tinmel-suivi-chantier.jpg","/images/journal/","Suivi documentaire du chantier patrimonial de la Mosquée de Tinmel","official project photograph","P1 important","Sujet actuel correct mais dupliqué avec les références; un visuel éditorial distinct doit illustrer la méthode."
"Journal","Carte — restauration réhabilitation reconversion","Journal card","/images/hero/hero-02.jpg","REPLACE","Valorisation du patrimoine","Bâtiment ancien en transformation; juxtaposition ancien/nouveau ou détail avant-après sans montage trompeur","landscape","16:10","1800x1125","journal-restauration-rehabilitation-reconversion.jpg","/images/journal/","Bâtiment ancien en cours de réhabilitation et de reconversion","official project photograph or licensed contextual image","P1 important","Intérieur décoratif actuel illustre le patrimoine mais pas la transformation ni la distinction éditoriale."
"Article","Hero article — diagnostic foncier","Article image","/images/references/diagnostic-cover.jpg","REPLACE","Valorisation foncière et territoriale","Même master que la carte diagnostic foncier; composition compatible bandeau 2:1","panoramic","2:1 crop from 16:9 master","2400x1350","journal-diagnostic-foncier.jpg","/images/journal/","Parcelles et voies analysées lors d’un diagnostic foncier","licensed contextual image or custom graphic/diagram","P1 important","Affichage article 16:8; réutilisation avec sa carte est pertinente."
"Article","Hero article — Tinmel 116 jours","Article image","/images/references/tinmel-cover.jpg","REPLACE","Valorisation du patrimoine / gouvernance","Même master éditorial Tinmel que la carte; chantier et documentation visibles","panoramic","2:1 crop from 16:9 master","2400x1350","journal-tinmel-suivi-chantier.jpg","/images/journal/","Suivi documentaire du chantier patrimonial de la Mosquée de Tinmel","official project photograph","P1 important","Éviter de réutiliser la photo institutionnelle générale des Références."
"Article","Hero article — transformation","Article image","/images/hero/hero-02.jpg","REPLACE","Valorisation du patrimoine","Même master de transformation que la carte; ancien et intervention contemporaine lisibles","panoramic","2:1 crop from 16:9 master","2400x1350","journal-restauration-rehabilitation-reconversion.jpg","/images/journal/","Bâtiment ancien en cours de réhabilitation et de reconversion","official project photograph or licensed contextual image","P1 important","Affichage très panoramique; garder le sujet au centre horizontal."
"Contact","Stratégie visuelle","No current image slot","[none]","KEEP","Transversal","Aucune photo requise; éventuellement carte territoriale ou trait architectural très discret ultérieurement","none","none","none","none","/images/contact/","","no image required","P2 optional","La page orientée formulaire est plus claire sans photographie de remplissage."
"Global","Header transparent","Temporary text wordmark","[wordmark text; official file missing]","REPLACE","Brand","Logo officiel ARCHERITAGE en version claire SVG","landscape","vector","vector","archeritage-logo-light.svg","/images/brand/","ARCHERITAGE","custom graphic/diagram","P0 critical","Asset officiel de marque; le wordmark texte est temporaire; ne pas recréer le logo."
"Global","Header sticky","Temporary text wordmark","[wordmark text; official file missing]","REPLACE","Brand","Logo officiel ARCHERITAGE en version sombre SVG","landscape","vector","vector","archeritage-logo-dark.svg","/images/brand/","ARCHERITAGE","custom graphic/diagram","P0 critical","Asset officiel de marque; variante sombre nécessaire sur fond ivoire après scroll."
"Global","Footer","Temporary text wordmark","[wordmark text; official file missing]","REPLACE","Brand","Logo officiel ARCHERITAGE clair; même fichier que le header transparent","landscape","vector","vector","archeritage-logo-light.svg","/images/brand/","ARCHERITAGE","custom graphic/diagram","P0 critical","Asset officiel de marque; réutiliser la variante claire officielle."
"Global","Favicon / application icon","Metadata asset","[missing]","REPLACE","Brand","Icône officielle Archeritage fournie par la charte","square","1:1","512x512 and vector master","archeritage-icon.svg","/images/brand/","Icône ARCHERITAGE","custom graphic/diagram","P0 critical","Asset officiel de marque; aucun icon.svg favicon.ico ou app icon officiel trouvé."
"Global","Open Graph / LinkedIn","Root metadata","/images/hero/hero-01.jpg","REPLACE","Brand / transversal","Composition sociale dédiée avec logo officiel promesse courte et photographie équilibrant les trois piliers","landscape","1.91:1","1200x630","archeritage-open-graph.jpg","/images/brand/","ARCHERITAGE — foncier architecture et patrimoine","custom graphic/diagram","P1 important","La metadata annonce 1200x630 mais pointe vers une photo verticale 2000x3008; aperçu social mal cadré et trop patrimonial."
